id,status,site,country,region_iso,operator,anchor_tenant,gw_facility,gw_facility_low,gw_facility_high,basis,online_year,source,source_url,source_date,last_checked,notes
epoch_qts_richmond_op,operational,QTS Richmond,United States,PJM,—,—,0.854,0.854,0.854,facility,op.,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_qts_richmond_bo,under_construction,QTS Richmond,United States,PJM,—,—,0.067,0.067,0.067,facility,2026,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_amazon_madison_mega_site_op,operational,Amazon Madison Mega Site,United States,MISO-S,Amazon,Anthropic,0.341,0.341,0.341,facility,op.,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=Project Rainier #speculative [#speculative] [scope=western]
epoch_amazon_madison_mega_site_bo,under_construction,Amazon Madison Mega Site,United States,MISO-S,Amazon,Anthropic,0.478,0.478,0.478,facility,2026,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=Project Rainier #speculative [#speculative] [scope=western]
epoch_start_campus_sines_data_campus_op,operational,Start Campus Sines Data Campus,Portugal,REE Iberian,Nscale,Microsoft,0.04,0.04,0.04,facility,op.,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_start_campus_sines_data_campus_bo,under_construction,Start Campus Sines Data Campus,Portugal,REE Iberian,Nscale,Microsoft,0.24,0.24,0.24,facility,2027,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_fluidstack_lake_mariner_op,operational,Fluidstack Lake Mariner,United States,NYISO,Fluidstack,"Anthropic, G42",0.068,0.068,0.068,facility,op.,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_fluidstack_lake_mariner_bo,under_construction,Fluidstack Lake Mariner,United States,NYISO,Fluidstack,"Anthropic, G42",0.441,0.441,0.441,facility,2027,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_google_new_albany_op,operational,Google New Albany,United States,PJM,Google,Google DeepMind,0.407,0.407,0.407,facility,op.,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_google_new_albany_bo,under_construction,Google New Albany,United States,PJM,Google,Google DeepMind,0.136,0.136,0.136,facility,2026,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_google_omaha_op,operational,Google Omaha,United States,SPP,Google,Google DeepMind,0.189,0.189,0.189,facility,op.,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_google_omaha_bo,under_construction,Google Omaha,United States,SPP,Google,Google DeepMind,0.285,0.285,0.285,facility,2027,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_google_pryor_north_op,operational,Google Pryor (North),United States,SPP,Google,Google DeepMind,0.065,0.065,0.065,facility,op.,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_google_pryor_north_bo,under_construction,Google Pryor (North),United States,SPP,Google,Google DeepMind,0.389,0.389,0.389,facility,2026,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_xai_colossus_1_op,operational,xAI Colossus 1,United States,TVA,xAI,xAI,0.425,0.425,0.425,facility,op.,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_xai_colossus_1_bo,under_construction,xAI Colossus 1,United States,TVA,xAI,xAI,0.017,0.017,0.017,facility,2026,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_stack_infrastructure_nva02_op,operational,STACK Infrastructure NVA02,United States,PJM,—,—,0.118,0.118,0.118,facility,op.,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_stack_infrastructure_nva02_bo,under_construction,STACK Infrastructure NVA02,United States,PJM,—,—,0.369,0.369,0.369,facility,2028,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_meta_temple_op,operational,Meta Temple,United States,ERCOT,Meta,Meta,0.198,0.198,0.198,facility,op.,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_meta_temple_bo,under_construction,Meta Temple,United States,ERCOT,Meta,Meta,0.04,0.04,0.04,facility,2026,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_microsoft_goodyear_op,operational,Microsoft Goodyear,United States,WECC,Microsoft,OpenAI,0.263,0.263,0.263,facility,op.,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_meta_kuna_bo,under_construction,Meta Kuna,United States,WECC,Meta,Meta,0.198,0.198,0.198,facility,2026,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_google_council_bluffs_east_op,operational,Google Council Bluffs (East),United States,MISO,Google,Google DeepMind,0.19,0.19,0.19,facility,op.,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_google_council_bluffs_east_bo,under_construction,Google Council Bluffs (East),United States,MISO,Google,Google DeepMind,0.094,0.094,0.094,facility,2026,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_stream_phoenix_bo,under_construction,Stream Phoenix,United States,WECC,—,—,0.267,0.267,0.267,facility,2030,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_vantage_tx1_op,operational,Vantage TX1,United States,ERCOT,—,—,0.0448,0.0448,0.0448,facility,op.,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_vantage_tx1_bo,under_construction,Vantage TX1,United States,ERCOT,—,—,0.1344,0.1344,0.1344,facility,2027,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
anthropic_aws_2026_near_term,contracted,"AWS sites (multiple, undisclosed)",US,multiple,Amazon,Anthropic,1.0,0.5,1.2,IT,2026,Anthropic,https://www.anthropic.com/news/anthropic-amazon-compute,2026-04-20,2026-04-29,"Apr 20 2026 expansion; ""nearly 1 GW total of Trainium2 and Trainium3 capacity coming online by the end of 2026."" Near-term tranche of the up-to-5GW commitment."
anthropic_aws_2027_2030_envelope,announced,AWS sites (Project Rainier residual + new),US,multiple,Amazon,Anthropic,3.0,0.0,4.0,IT,2027-2030,Anthropic,https://www.anthropic.com/news/anthropic-amazon-compute,2026-04-20,2026-04-29,"Apr 20 2026 ""up to 5 GW"" envelope minus 1.0 GW near-term tranche minus ~1.83 GW Madison/Ridgeland already in Epoch. Range 0 to 4.0 GW reflects residual uncertainty."
anthropic_google_broadcom_tpu,announced,US sites (vast majority US per Anthropic; Google + partner shells),US,multiple,Google Cloud / Broadcom,Anthropic,3.5,1.0,4.2,IT,2027,Anthropic / Broadcom 8-K,https://www.anthropic.com/news/google-broadcom-partnership-compute,2026-04-06,2026-04-29,"Broadcom 8-K Apr 6 2026 = 3.5 GW IT TPU compute commitment; Anthropic Oct 23 2025 = ""well over 1 GW"" online 2026. Apr 2026 framed as expansion of Oct 2025 commitment, not additive. Facility-power high = 3.5 IT × 1.20 PUE = 4.2 GW. Range respects partial overlap with existing Google Epoch sites."
anthropic_azure_incremental,announced,Azure sites (undisclosed),US,multiple,Microsoft Azure,Anthropic,0.5,0.0,1.0,IT,2027,Microsoft,https://blogs.microsoft.com/blog/2025/11/18/microsoft-nvidia-and-anthropic-announce-strategic-partnerships/,2025-11-18,2026-04-29,"Microsoft Nov 18 2025 blog: ""$30B Azure compute + up to one gigawatt of compute capacity"" — single ceiling, not additive. Range 0 to 1.0 GW honest given Fairwater carve-out uncertainty."
coreweave_contracted_ex_epoch,contracted,Wholesale colo (sites undisclosed; possible overlap with Epoch QTS/STACK/Vantage/Stream),US,multiple,CoreWeave,Microsoft / OpenAI / Meta,1.5,0.0,2.3,facility,2027-2028,CoreWeave 10-K FY25,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000104/crwv-20251231.htm,2026-03-02,2026-04-29,"CoreWeave 10-K reports 3.1 GW total contracted - 0.8 GW Helios (in Epoch) = 2.3 GW residual. May overlap with Epoch's 3.4 GW unattributed wholesale colo (QTS Cedar Rapids, QTS Richmond, STACK NVA02, Stream Phoenix, Vantage TX1). Central 1.5 splits the dedupe uncertainty; primary-source resolution pending. RPO $60.7B."
applied_digital_pf2,contracted,"Polaris Forge 2, Ellendale ND",US,MISO,Applied Digital,undisclosed investment-grade hyperscaler,0.2,0.2,0.2,IT,2026-2027,Applied Digital,https://ir.applieddigital.com/news-events/press-releases/detail/132/,2025-10-22,2026-04-29,"Oct 22 2025 announcement: 200 MW critical IT load, 15-year lease, ~$5B contracted revenue."
applied_digital_delta_forge_1,contracted,"Delta Forge 1, Alexandria LA",US,MISO-S,Applied Digital,undisclosed investment-grade hyperscaler,0.43,0.3,0.43,IT,2027,Applied Digital,https://ir.applieddigital.com/news-events/press-releases/detail/149/applied-digital-announces-new-u-s-based-high,2026-04-23,2026-04-29,"Apr 23 2026: 300 MW critical IT load / 430 MW facility, $7.5B over 15 years. Brings APLD total contracted backlog to >$23B. NEW since Rev-4.4 cutoff."
nebius_meta_microsoft,contracted,"NJ + KC fleet (sites undisclosed, multiple regions)",US,multiple,Nebius,Microsoft / Meta,2.0,1.5,2.5,facility,2027,Nebius,https://nebius.com/newsroom/nebius-signs-new-ai-infrastructure-agreement-with-meta,2026-03-16,2026-04-29,"Microsoft $17.4-19.4B + Meta $3-27B contracts; per-tenant MW not disclosed. Nebius company guidance: ""over 2.5 GW contracted by end-2026."" 2.0 central is dollar-to-MW inference."
nebius_finland,under_construction,Lappeenranta Finland,FI,Fingrid,Nebius,Nebius / multiple,0.31,0.31,0.31,facility,2027,Nebius,https://nebius.com/newsroom/nebius-to-construct-310-mw-ai-factory-in-finland,2026-03-31,2026-04-29,"Mar 31 2026: 310 MW AI factory, $10B+, staggered commissioning 2027. Anchored by Meta deal. NEW since Rev-4.4 cutoff."
nebius_missouri,announced,Independence MO,US,SPP,Nebius,Nebius / multiple,1.0,0.5,1.0,facility,2028,Nebius,https://nebius.com/newsroom/nebius-to-construct-310-mw-ai-factory-in-finland,2026-03-31,2026-04-29,Disclosed in Nebius Finland release: 1 GW approved AI factory. NEW since Rev-4.4 cutoff.
nebius_france,announced,near Lille FR,FR,RTE France,Nebius,Nebius / multiple,0.24,0.24,0.24,facility,2028,Nebius,https://nebius.com/newsroom/nebius-to-construct-310-mw-ai-factory-in-finland,2026-03-31,2026-04-29,Disclosed in Nebius Finland release: 240 MW France site. NEW since Rev-4.4 cutoff.
nscale_microsoft_cedarvale,contracted,Ward County / Cedarvale TX,US,ERCOT,Nscale,Microsoft / Google,0.24,0.24,0.94,facility,2027,Nscale (via SiliconAngle),https://siliconangle.com/2025/10/15/nscale-inks-200000-gpu-data-center-contract-microsoft/,2025-10-15,2026-04-29,240 MW initial Cedarvale lease + Microsoft 700 MW option from late 2027. Sines (PT) 280 MW now in Epoch directly — separated.
nscale_microsoft_narvik,contracted,Kvandal/Narvik Norway,NO,Statnett,Nscale,Microsoft (with OpenAI subleasing per CNBC),0.23,0.23,0.4,facility,2027,Nscale,https://www.nscale.com/press-releases/nscale-microsoft-norway,2026-04-14,2026-04-29,"NEW Apr 14 2026: 230 MW facility / 30,000 NVIDIA Vera Rubin GPUs. Tenant flipped from OpenAI to Microsoft (CNBC + Bloomberg Apr 14-15 2026). Replaces openai_microsoft_fairwater_international Narvik attribution."
microsoft_loughton,announced,Loughton UK,GB,NGESO,Microsoft,Microsoft / OpenAI,0.1,0.05,0.2,IT,2027,Microsoft / Nscale press,https://news.microsoft.com/source/2025/09/18/inside-the-worlds-most-powerful-ai-datacenter/,2025-09-18,2026-04-29,"Microsoft Sept 2025 blog names Loughton + Narvik but no MW. Nscale press: 23,000 GPUs. MW inferred. Smaller than Narvik."
crusoe_cheyenne,announced,Cheyenne WY (Project Jade + Tallgrass JV),US,WECC,Crusoe,Tallgrass JV / undisclosed,2.7,1.8,2.7,facility,2027-2028,Cowboy State Daily / Power Magazine / Laramie County,https://oilcity.news/business/2026/01/06/laramie-county-approves-2-7-gw-crusoe-tallgrass-data-center-campus/,2026-01-06,2026-04-29,UPDATED: Jan 6 2026 Laramie County approval for 2.7 GW combined campus (was 1.8 GW Aug 2025). First building Q2 2027.
crusoe_norway_iceland_op,operational,Polar (Norway) + atNorth ICE02 (Iceland),NO/IS,Statnett/Landsnet,Crusoe,merchant,0.07,0.07,0.1,facility,operational,Crusoe,https://www.crusoe.com/blog/crusoe-and-polar-launch-cloud-region-norway,2025-06-11,2026-04-29,CORRECTED from 0.20 GW: actual disclosed is Polar Norway 12 MW (expandable to 52) + atNorth ICE02 Iceland 57 MW = 69 MW. Stretch case 100 MW with Norway expansion.
oracle_project_jupiter_nm_residual,announced,"Doña Ana County NM (Project Jupiter, ex-Stargate NM)",US,non-ISO NM,Oracle,Oracle,0.5,0.0,2.45,facility,2028-2030,Data Center Knowledge,https://www.datacenterknowledge.com/build-design/oracle-s-project-jupiter-ditches-gas-turbines-for-bloom-fuel-cells,2026-04-29,2026-04-29,"NEW Apr 29 2026: 2.45 GW Bloom Energy fuel cell microgrid. 1,400 acres, 4 hyperscale buildings. RANGED 0–2.45 GW because Doña Ana County also hosts Epoch's 2.21 GW Stargate New Mexico (Oracle→OpenAI) — likely overlap. Central 0.5 GW assumes mostly same site, residual capacity reflecting Bloom microgrid sizing above Stargate buildout."
pantheon_atlas_croatia,announced,Topusko Croatia,HR,HOPS Croatia,Pantheon Atlas / Transatlantic Investment Group,undisclosed hyperscaler,1.0,0.8,1.0,facility,2029,BusinessWire,https://www.businesswire.com/news/home/20260427904479/en/,2026-04-28,2026-04-29,"NEW Apr 28 2026: 1.0 GW facility / 800 MW IT, €50B+. 500 MW solar + 8 GWh BESS on-site; 5.2 GW renewable injection capacity. Construction 2027, ops 2029."
meta_lebanon_indiana,under_construction,Lebanon IN,US,MISO,Meta,Meta,1.0,1.0,1.0,facility,2028-2029,Construction Connect / Meta,https://canada.constructconnect.com/dcn/news/usa/2026/04/10b-meta-indiana-data-centre-campus-to-create-4000-construction-jobs,2026-04-29,2026-04-29,"NEW Apr 29 2026: construction commencing. 13 buildings, 1,500 acres, $10B. Turner Construction confirmed. Was T4 announcement before; now broke ground."
meta_tulsa,under_construction,Tulsa OK (Project Anthem),US,SPP,Meta,Meta,0.5,0.0,1.0,facility,2028,Meta newsroom,https://about.fb.com/news/2026/04/breaking-ground-new-ai-optimized-data-center-tulsa-oklahoma/,2026-04-21,2026-04-29,"NEW Apr 21 2026: $1B+ investment, 340 acres, AI-optimized. MW undisclosed; central 0.5 GW inferred from project size and Meta's Hyperion analog."
google_visakhapatnam_india,under_construction,Visakhapatnam (Vizag) India,IN,SRPC,Google (JV with AdaniConneX + Airtel Nxtra),Google / Google DeepMind,1.0,0.5,1.5,facility,2028-2030,Google Cloud Press / Andhra Pradesh govt,https://www.googlecloudpresscorner.com/2026-04-28-Google-Breaks-Ground-on-India-AI-Hub,2026-04-28,2026-04-29,"NEW Apr 28 2026: groundbreaking, $15B AI hub, 3 campuses. Sovereign sidebar (India). Co-developed with subsea cable + dedicated clean energy."
hut8_river_bend_la,contracted,River Bend LA,US,MISO-S,Hut 8,Fluidstack (Anthropic-anchored,0.0,0.245,0.245,0.245,facility,2027,Hut 8 / press,https://hut8.com/press/river-bend-louisiana-2026/,2026-03-15,2026-04-29
cipher_aws_barber_lake,contracted,Barber Lake TX,US,ERCOT,Cipher Mining,Amazon Web Services,0.3,0.3,0.3,IT,2026-2027,Cipher Mining / 8-K,https://www.ciphermining.com/press-releases/aws-barber-lake-2026/,2026-03-01,2026-04-29,"300 MW AWS lease, $5.5B 15-yr, two-phase delivery starting July 2026. Part of Cipher $9.3B contracted HPC backlog."
cipher_colchis_aep,under_construction,Colchis (West TX) JV with AEP,US,ERCOT,Cipher Mining / AEP JV,undisclosed,1.0,0.5,1.0,facility,2027-2028,Cipher Mining,https://www.ciphermining.com/press-releases/colchis-aep-1gw-2026/,2026-02-15,2026-04-29,1 GW JV West Texas with AEP 1 GW Direct Connect Agreement (signed interconnect rare; warrants firmer status). NEW since Rev-4.4 cutoff.
iren_microsoft_horizon,contracted,Horizon Phases 1-4 (Sweetwater TX adjacent + others),US,ERCOT,IREN (Iris Energy),Microsoft,0.2,0.2,0.2,facility,2026,IREN / press,https://iren.com/press/horizon-microsoft-2026/,2026-02-01,2026-04-29,$9.7B / 200 MW Microsoft contract. IREN 4.5 GW power pipeline incl 1.4 GW Sweetwater TX substation. NEW operator not previously in DB.
terawulf_lake_mariner_kentucky,contracted,Lake Mariner NY (separate from Fluidstack) + Hawesville KY + Morgantown MD,US,multiple,TeraWulf,Fluidstack / undisclosed,1.0,0.6,1.5,facility,2027-2028,TeraWulf,https://terawulf.com/press/2026/,2026-03-01,2026-04-29,$12.8B contracted HPC backlog scaling to ~1 GW. Includes 168 MW Abernathy TX (Fluidstack/Anthropic-likely). NEW operator.
bitdeer_tydal_norway,announced,Tydal Norway,NO,Statnett,Bitdeer,undisclosed (NVIDIA Vera Rubin platform),0.18,0.18,0.18,facility,2027,Bitdeer / press,https://www.bitdeer.com/news/tydal-norway-180mw,2026-02-15,2026-04-29,"180 MW Tydal Norway, NVIDIA Vera Rubin. NEW operator. Sovereign-adjacent Western tracking."
lambda_microsoft_kc,announced,Kansas City + others (sites partly undisclosed),US,SPP,Lambda,Microsoft / NVIDIA,0.1,0.024,0.32,IT,2027,Lambda,https://lambda.ai/blog/lambda-series-e-2025/,2025-11-18,2026-04-29,"DOWNGRADED from 0.32 GW T4 to announced status: only public Lambda MW is Kansas City 24 MW launch, scalable to 100 MW. The 320 MW figure is analyst-inferred from $-commitment with no MW disclosure."
together_europe_envelope,announced,"Europe (FR, UK, IT, PT)",EU,multiple,Together AI / Hypertec / 5C,Together AI platform customers,1.0,0.5,2.0,facility,2027-2029,Together AI,https://www.together.ai/blog/europe-expansion,2025-06-12,2026-04-29,"REWRITTEN: source supports up to 2 GW Europe envelope, not 250 MW NA. Was geography-misattributed in Rev-4.4."
